Time,Open,High,Low,Last,Change,Volume
2005-09-17 15:00,20991.08,21002.54,20938.04,20975.78,-15.36,60181426
2005-09-17 14:00,20990.02,20999.86,20981.36,20991.14,1.22,25639056
2005-09-17 13:00,20996.76,21005.66,20976.09,20989.92,-6.74,21373125
2005-09-17 12:00,21019.44,21022.45,20993.83,20996.66,-22.83,21745418
2005-09-17 11:00,21025.25,21027.22,20999.32,21019.49,-5.53,27639890
2005-09-17 10:00,21032.47,21046.85,21014.32,21025.02,-6.84,40193473
2005-09-17 9:00,21023.75,21040.47,21016.7,21031.86,19.58,29391086
2005-08-17 16:00,21007.16,21012.28,21007.16,21012.28,3.84,45569447
2005-08-17 15:00,21001.78,21008.84,20985.81,21008.44,6.66,55349642
2005-08-17 14:00,21011.65,21011.68,20990.06,21001.78,-9.94,24973482
2005-08-17 13:00,21008.42,21017.89,21004.23,21011.72,3.33,24215527
2005-08-17 12:00,20994.77,21014.29,20985.91,21008.39,13.5,27105762
2005-08-17 11:00,20989.43,21000.27,20977.22,20994.89,5.52,29065663
2005-08-17 10:00,20973.41,20999.05,20971.66,20989.37,15.67,38205130
2005-08-17 9:00,20991.26,21015.26,20971.05,20973.7,-33.24,31663677
2005-05-17 16:00,21005.19,21006.94,21005.09,21006.94,2.84,28458999
2005-05-17 15:00,20971.84,21004.57,20965.37,21004.1,32.21,53250071
2005-05-17 14:00,20961.53,20985.98,20959.14,20971.89,10.72,25574261
2005-05-17 13:00,20937.58,20962.13,20932.39,20961.17,23.73,22109435
2005-05-17 12:00,20948.04,20951.61,20915.39,20937.44,-11.05,24455913
2005-05-17 11:00,20927.21,20949.56,20919.52,20948.49,20.95,30826361
2005-05-17 10:00,20927.81,20946.59,20905,20927.54,-2.13,41336403
2005-05-17 9:00,20929.04,20948.39,20920.57,20929.67,-21.8,30951741
2005-04-17 16:00,20948.92,20951.47,20948.92,20951.47,2.57,28459075
2005-04-17 15:00,20931.5,20953.08,20921.18,20948.9,17.31,51304575
2005-04-17 14:00,20932.18,20949.09,20907.54,20931.59,-0.35,27955621
2005-04-17 13:00,20925.38,20942.56,20916.96,20931.94,5.98,23729765
2005-04-17 12:00,20924.73,20930.44,20847.95,20925.96,1.08,32390269
2005-04-17 11:00,20930.07,20949.62,20918.67,20924.88,-5.22,30938989
2005-04-17 10:00,20934.42,20951.92,20914.69,20930.1,-4.91,42943545
2005-04-17 9:00,20987.83,20990.79,20917.86,20935.01,-22.89,33688670
